customerid;DOB;gender;address;job
0000000988;03/02/1992;Nam;Mai Làng/Quận Bình Thạnh/TP.HCM;worker
0000000989;31/01/1999;Nữ;Jane Số/Quận 3/TP.HCM;worker
0000002231;24/04/1995;Nữ;John Hẻm/Quận Bình Thạnh/TP.HCM;worker
0000002296;07/09/1997;Nam;Jane Tổ/Quận 1/TP.HCM;worker
0000002299;13/08/1993;Nữ;Lê Làng/Quận 1/TP.HCM;worker
0000002371;26/11/1999;Nữ;Đặng Đường/Quận 3/TP.HCM;worker
0000002726;15/12/1997;Nữ;John Hẻm/Quận 3/TP.HCM;worker
0000002739;21/03/1995;Nữ;Jane Dãy/Quận Bình Thạnh/TP.HCM;worker
0000002787;20/11/2001;Nữ;Jane Hẻm/Quận 1/TP.HCM;student
0000003204;19/06/2002;Nữ;John Làng/Quận 1/TP.HCM;student
0000003225;03/01/1992;Nam;John Dãy/Quận Bình Thạnh/TP.HCM;worker
0000003228;02/03/1989;Nam;Jane Tổ/Quận 1/TP.HCM;worker
0000003244;15/09/2000;Nữ;Jane Hẻm/Quận Bình Thạnh/TP.HCM;worker
0000003254;21/10/1989;Nam;Nguyễn Khu/Quận 1/TP.HCM;worker
0000003275;05/12/1989;Nam;Trần Tổ/Quận 3/TP.HCM;worker
0000003311;26/08/1999;Nữ;John Khu/Quận 7/TP.HCM;worker
0000003335;07/09/2000;Nam;Phạm Dãy/Quận 3/TP.HCM;worker
0000003352;02/03/1992;Nam;Phạm Dãy/Quận 3/TP.HCM;worker
0000003363;12/04/1997;Nam;John Dãy/Quận 7/TP.HCM;worker
0000003377;18/12/2000;Nữ;Jane Làng/Quận Gò Vấp/TP.HCM;worker
0000003383;23/12/1992;Nam;Trần Đường/Quận 3/TP.HCM;worker
0000003386;03/01/2002;Nam;John Hẻm/Quận 7/TP.HCM;student
0000003397;13/03/2001;Nam;Jane Đường/Quận Gò Vấp/TP.HCM;student
0000003574;24/04/1995;Nam;Jane Đường/Quận Bình Thạnh/TP.HCM;worker
0000003595;04/09/1995;Nam;Mai Khu/Quận 7/TP.HCM;worker
0000003803;10/03/1992;Nam;Jane Hẻm/Quận 1/TP.HCM;worker
0000003810;24/05/1997;Nam;John Đường/Quận 3/TP.HCM;worker
0000003945;04/03/1998;Nữ;Bùi Làng/Quận Gò Vấp/TP.HCM;worker
0000004007;06/09/1995;Nữ;Phạm Dãy/Quận Bình Thạnh/TP.HCM;worker
0000004159;28/07/2002;Nữ;John Dãy/Quận Bình Thạnh/TP.HCM;student
0000004160;15/01/2001;Nữ;John Số/Quận 3/TP.HCM;student
0000004208;14/05/2003;Nữ;Phạm Đường/Quận Bình Thạnh/TP.HCM;student
0000004211;22/09/1997;Nam;Trần Tổ/Quận Gò Vấp/TP.HCM;worker
0000004239;29/09/1995;Nữ;Mai Làng/Quận 3/TP.HCM;worker
0000004241;20/06/2000;Nữ;Bùi Ngõ/Quận 7/TP.HCM;worker
0000004242;20/11/2001;Nữ;John Số/Quận 1/TP.HCM;student
0000004256;09/08/1996;Nữ;Jane Hẻm/Quận Bình Thạnh/TP.HCM;worker
0000004261;13/05/1994;Nam;Lê Đường/Quận 7/TP.HCM;worker
0000004283;20/11/1997;Nam;John Khu/Quận 3/TP.HCM;worker
0000004289;06/02/1976;Nam;Jane Tổ/Quận 1/TP.HCM;worker
0000004306;22/11/1998;Nữ;Jane Đường/Quận Bình Thạnh/TP.HCM;worker
0000004340;16/01/2002;Nam;Đặng Số/Quận 3/TP.HCM;student
0000004387;22/11/1999;Nữ;Jane Dãy/Quận Gò Vấp/TP.HCM;worker
0000004648;18/05/1988;Nam;Trần Làng/Quận 7/TP.HCM;worker
0000004660;03/06/1999;Nữ;John Khu/Quận 3/TP.HCM;worker
0000004731;22/08/1997;Nữ;John Làng/Quận 3/TP.HCM;worker
0000004777;10/08/1997;Nam;Jane Khu/Quận 3/TP.HCM;worker
0000004800;11/08/1997;Nữ;John Đường/Quận 3/TP.HCM;worker
0000004883;16/02/1991;Nữ;Nguyễn Làng/Quận Gò Vấp/TP.HCM;worker
0000004889;11/03/1993;Nam;John Tổ/Quận 1/TP.HCM;worker
0000004925;29/01/2005;Nữ;Jane Làng/Quận 3/TP.HCM;student
0000004950;05/03/1991;Nam;John Ngõ/Quận 7/TP.HCM;worker
0000010039;04/09/1994;Nam;Trần Dãy/Quận Bình Thạnh/TP.HCM;worker
0000010049;18/02/1994;Nam;John Hẻm/Quận 3/TP.HCM;worker
0000010063;09/10/1994;Nam;John Khu/Quận Gò Vấp/TP.HCM;worker
0000010118;05/08/1997;Nữ;Phạm Khu/Quận 1/TP.HCM;worker
0000010136;13/12/1992;Nam;Jane Số/Quận Gò Vấp/TP.HCM;worker
0000010165;19/02/1994;Nữ;Jane Ngõ/Quận Gò Vấp/TP.HCM;worker
0000010196;01/04/1993;Nữ;Jane Khu/Quận 7/TP.HCM;worker
0000010231;05/02/1996;Nam;Dương Làng/Quận 3/TP.HCM;worker
0000010241;03/02/1990;Nam;John Ngõ/Quận 3/TP.HCM;worker
0000010249;05/10/1997;Nữ;Vũ Làng/Quận 1/TP.HCM;worker
0000010255;28/03/1999;Nữ;Jane Hẻm/Quận Gò Vấp/TP.HCM;worker
0000010267;09/05/2000;Nữ;John Tổ/Quận Bình Thạnh/TP.HCM;worker
0000010272;24/12/1995;Nữ;Vũ Tổ/Quận Bình Thạnh/TP.HCM;worker
0000010290;08/09/2000;Nam;Lê Hẻm/Quận 7/TP.HCM;worker
0000010312;30/11/1999;Nữ;Hoàng Dãy/Quận 7/TP.HCM;worker
0000010313;23/11/1994;Nam;Mai Khu/Quận 7/TP.HCM;worker
0000010335;26/07/1982;Nữ;John Làng/Quận 7/TP.HCM;worker
0000010409;16/09/1994;Nữ;Phạm Số/Quận Bình Thạnh/TP.HCM;worker
0000010447;05/11/1995;Nam;Jane Dãy/Quận Bình Thạnh/TP.HCM;worker
0000010455;23/12/1991;Nữ;Vũ Khu/Quận 7/TP.HCM;worker
0000010529;08/08/2000;Nữ;Phạm Dãy/Quận 3/TP.HCM;worker
0000010549;14/06/1985;Nữ;Dương Ngõ/Quận 3/TP.HCM;worker
0000010550;14/04/1992;Nữ;Nguyễn Dãy/Quận 1/TP.HCM;worker
0000010571;18/12/2003;Nữ;Đặng Hẻm/Quận Gò Vấp/TP.HCM;student
0000010591;23/05/1992;Nam;Jane Tổ/Quận 1/TP.HCM;worker
0000010594;17/08/1996;Nữ;Mai Tổ/Quận 1/TP.HCM;worker
0000010600;24/12/1992;Nam;Jane Tổ/Quận Bình Thạnh/TP.HCM;worker
0000010619;27/02/1996;Nữ;Jane Tổ/Quận 7/TP.HCM;worker
0000010666;26/11/1997;Nữ;John Hẻm/Quận 3/TP.HCM;worker
0000010686;26/08/2000;Nữ;Hoàng Số/Quận 3/TP.HCM;worker
0000010689;04/10/1997;Nữ;Trần Hẻm/Quận 1/TP.HCM;worker
0000010756;29/07/1997;Nam;Trần Dãy/Quận 1/TP.HCM;worker
0000010773;16/01/1997;Nữ;Đặng Hẻm/Quận 1/TP.HCM;worker
0000010799;22/07/1997;Nam;Jane Khu/Quận 3/TP.HCM;worker
0000010809;17/12/1994;Nam;Jane Tổ/Quận Gò Vấp/TP.HCM;worker
0000010811;25/12/1999;Nữ;John Dãy/Quận Bình Thạnh/TP.HCM;worker
0000010821;08/11/1996;Nam;Lê Dãy/Quận Bình Thạnh/TP.HCM;worker
0000010832;19/04/1996;Nam;Phạm Đường/Quận 7/TP.HCM;worker
0000010842;10/09/2000;Nam;Jane Đường/Quận 1/TP.HCM;worker
0000010878;21/01/1994;Nữ;Jane Dãy/Quận Bình Thạnh/TP.HCM;worker
0000010884;12/04/1994;Nữ;Lê Làng/Quận 1/TP.HCM;worker
0000010926;31/05/1992;Nữ;Jane Tổ/Quận Gò Vấp/TP.HCM;worker
0000010931;12/09/1988;Nam;Nguyễn Làng/Quận 3/TP.HCM;worker
0000010960;04/01/2001;Nam;Jane Số/Quận 1/TP.HCM;student
0000010961;12/02/1994;Nam;Jane Dãy/Quận 3/TP.HCM;worker
0000011012;01/11/1995;Nam;Jane Làng/Quận Bình Thạnh/TP.HCM;worker
0000011017;05/03/1998;Nữ;Bùi Số/Quận Bình Thạnh/TP.HCM;worker
0000011051;05/04/1991;Nữ;Phạm Làng/Quận Gò Vấp/TP.HCM;worker
0000011054;16/09/1993;Nữ;Nguyễn Khu/Quận Gò Vấp/TP.HCM;worker
0000011059;27/08/1995;Nữ;Mai Ngõ/Quận Gò Vấp/TP.HCM;worker
0000011085;07/12/1996;Nữ;John Khu/Quận 7/TP.HCM;worker
0000011097;15/02/1994;Nam;John Tổ/Quận 1/TP.HCM;worker
0000011100;13/10/1992;Nữ;John Hẻm/Quận 3/TP.HCM;worker
0000011117;30/06/1991;Nam;Dương Ngõ/Quận 3/TP.HCM;worker
0000011149;14/06/1997;Nữ;Lê Làng/Quận 3/TP.HCM;worker
0000011150;13/09/1999;Nam;John Đường/Quận 3/TP.HCM;worker
0000011180;05/09/1996;Nam;Hoàng Số/Quận Bình Thạnh/TP.HCM;worker
0000011186;12/01/1993;Nữ;John Hẻm/Quận Bình Thạnh/TP.HCM;worker
0000011213;01/02/2003;Nam;John Làng/Quận 1/TP.HCM;student
0000011237;25/04/1990;Nam;Bùi Dãy/Quận 7/TP.HCM;worker
0000011294;05/05/1995;Nam;Jane Ngõ/Quận 3/TP.HCM;worker
0000011297;23/11/1990;Nam;Vũ Khu/Quận Gò Vấp/TP.HCM;worker
0000011303;13/02/1987;Nam;Nguyễn Làng/Quận Bình Thạnh/TP.HCM;worker
0000011318;31/03/1995;Nam;Jane Số/Quận Bình Thạnh/TP.HCM;worker
0000011327;05/10/2000;Nữ;Phạm Khu/Quận Bình Thạnh/TP.HCM;worker
0000011369;08/06/1996;Nam;John Dãy/Quận 3/TP.HCM;worker
0000011462;19/08/2001;Nữ;Jane Ngõ/Quận Gò Vấp/TP.HCM;student
0000011516;26/06/1987;Nam;Jane Ngõ/Quận 1/TP.HCM;worker
0000011544;15/09/2000;Nam;Jane Ngõ/Quận 3/TP.HCM;worker
0000011546;14/06/1997;Nữ;Jane Ngõ/Quận Bình Thạnh/TP.HCM;worker
0000011552;06/02/1997;Nam;Vũ Tổ/Quận 3/TP.HCM;worker
0000011553;27/10/2002;Nam;Dương Đường/Quận Gò Vấp/TP.HCM;student
0000011596;04/02/1978;Nữ;John Làng/Quận 1/TP.HCM;worker
0000011621;15/06/2000;Nữ;Jane Dãy/Quận 7/TP.HCM;worker
0000011626;06/10/1997;Nữ;Trần Làng/Quận Bình Thạnh/TP.HCM;worker
0000011684;14/03/1990;Nữ;Jane Tổ/Quận Bình Thạnh/TP.HCM;worker
0000011685;09/11/1994;Nữ;Jane Làng/Quận 7/TP.HCM;worker
0000011699;05/06/1997;Nữ;John Đường/Quận 3/TP.HCM;worker
0000011740;21/03/1997;Nữ;Jane Hẻm/Quận 1/TP.HCM;worker
0000011753;21/05/2000;Nữ;Phạm Số/Quận 1/TP.HCM;worker
0000011759;29/11/1999;Nữ;Vũ Làng/Quận 1/TP.HCM;worker
0000011769;13/03/1988;Nam;Trần Làng/Quận 7/TP.HCM;worker
0000011783;13/01/1992;Nam;Vũ Đường/Quận 7/TP.HCM;worker
0000011817;16/10/1994;Nam;Trần Số/Quận 3/TP.HCM;worker
0000011871;04/04/1999;Nam;Phạm Hẻm/Quận 7/TP.HCM;worker
0000012009;03/01/1991;Nữ;Jane Số/Quận 1/TP.HCM;worker
0000012025;22/06/1994;Nữ;Vũ Làng/Quận 3/TP.HCM;worker
0000012026;28/01/1996;Nữ;Jane Làng/Quận 7/TP.HCM;worker
0000012047;05/06/1996;Nữ;Phạm Số/Quận Bình Thạnh/TP.HCM;worker
0000012056;31/03/2001;Nam;John Khu/Quận 7/TP.HCM;student
0000012067;28/03/1995;Nam;Lê Hẻm/Quận Bình Thạnh/TP.HCM;worker
0000012069;08/08/1996;Nam;Trần Ngõ/Quận 1/TP.HCM;worker
0000012074;12/06/1993;Nam;John Khu/Quận Gò Vấp/TP.HCM;worker
0000012084;04/01/1998;Nữ;Bùi Đường/Quận Gò Vấp/TP.HCM;worker
0000012090;19/09/1996;Nữ;John Dãy/Quận 3/TP.HCM;worker
0000012091;18/01/2000;Nữ;John Tổ/Quận 3/TP.HCM;worker
0000012109;22/07/1993;Nam;Lê Làng/Quận Gò Vấp/TP.HCM;worker
0000012138;17/10/1990;Nam;John Dãy/Quận Gò Vấp/TP.HCM;worker
0000012146;24/06/1996;Nữ;Jane Khu/Quận Bình Thạnh/TP.HCM;worker
0000012152;03/01/1992;Nam;Hoàng Làng/Quận 1/TP.HCM;worker
0000012155;20/12/1995;Nữ;Mai Ngõ/Quận 7/TP.HCM;worker
0000012170;30/11/2001;Nam;John Hẻm/Quận Gò Vấp/TP.HCM;student
0000012182;20/08/1998;Nữ;John Dãy/Quận 1/TP.HCM;worker
0000012198;06/04/2003;Nữ;Jane Khu/Quận 7/TP.HCM;student
0000012202;14/07/1994;Nữ;Dương Khu/Quận 7/TP.HCM;worker
0000012277;01/01/1999;Nữ;John Khu/Quận 1/TP.HCM;worker
0000012281;17/12/1996;Nam;Nguyễn Hẻm/Quận Bình Thạnh/TP.HCM;worker
0000012284;13/07/1998;Nam;Lê Khu/Quận Bình Thạnh/TP.HCM;worker
0000012302;08/04/1977;Nữ;Bùi Khu/Quận Bình Thạnh/TP.HCM;worker
0000012360;22/10/1996;Nữ;Jane Tổ/Quận Gò Vấp/TP.HCM;worker
0000012377;31/12/1977;Nữ;John Số/Quận 3/TP.HCM;worker
0000012407;01/06/1985;Nữ;John Hẻm/Quận Gò Vấp/TP.HCM;worker
0000012411;20/08/1994;Nam;Hoàng Số/Quận 7/TP.HCM;worker
0000012422;13/10/2000;Nam;Phạm Hẻm/Quận Gò Vấp/TP.HCM;worker
0000012505;28/04/1995;Nữ;Bùi Làng/Quận 3/TP.HCM;worker
0000012531;25/01/1998;Nữ;Jane Ngõ/Quận 7/TP.HCM;worker
0000012550;30/03/1994;Nữ;Jane Dãy/Quận 3/TP.HCM;worker
0000012555;12/05/1996;Nữ;Đặng Số/Quận Bình Thạnh/TP.HCM;worker
0000012595;05/04/2000;Nữ;John Số/Quận 1/TP.HCM;worker
0000012603;21/09/1999;Nữ;Jane Hẻm/Quận 3/TP.HCM;worker
0000012628;07/11/1997;Nam;Nguyễn Hẻm/Quận Gò Vấp/TP.HCM;worker
0000012643;30/09/1998;Nữ;Bùi Số/Quận Gò Vấp/TP.HCM;worker
0000012655;14/10/1993;Nữ;Mai Khu/Quận 7/TP.HCM;worker
0000012656;12/09/1995;Nữ;John Ngõ/Quận 1/TP.HCM;worker
0000012662;01/10/1998;Nữ;Dương Hẻm/Quận 7/TP.HCM;worker
0000012750;25/09/1997;Nữ;Bùi Số/Quận 7/TP.HCM;worker
0000012773;13/04/1992;Nam;John Đường/Quận 7/TP.HCM;worker
0000012828;16/06/1992;Nam;Jane Đường/Quận 7/TP.HCM;worker
0000012890;19/05/1995;Nữ;Bùi Khu/Quận Gò Vấp/TP.HCM;worker
0000012919;08/05/1997;Nam;Lê Đường/Quận 7/TP.HCM;worker
0000012931;03/01/1995;Nữ;Bùi Ngõ/Quận 7/TP.HCM;worker
0000012951;21/07/2000;Nữ;Mai Đường/Quận 3/TP.HCM;worker
0000012953;02/10/2000;Nam;John Dãy/Quận 3/TP.HCM;worker
0000013006;03/02/1991;Nữ;Jane Tổ/Quận Bình Thạnh/TP.HCM;worker
0000013017;25/04/1992;Nữ;Jane Làng/Quận Gò Vấp/TP.HCM;worker
0000013048;26/02/1974;Nữ;Trần Đường/Quận 3/TP.HCM;worker
0000013054;23/03/1995;Nữ;John Khu/Quận Bình Thạnh/TP.HCM;worker
0000013155;11/01/2000;Nữ;Jane Khu/Quận 1/TP.HCM;worker
0000013164;03/01/2001;Nam;John Làng/Quận 7/TP.HCM;student
0000013183;22/02/1998;Nam;Mai Hẻm/Quận Gò Vấp/TP.HCM;worker
0000013196;23/05/2001;Nữ;Trần Ngõ/Quận Bình Thạnh/TP.HCM;student
0000013206;09/08/1997;Nam;John Làng/Quận 7/TP.HCM;worker
0000013207;06/10/2004;Nữ;Hoàng Làng/Quận 3/TP.HCM;student
0000013220;26/08/1995;Nữ;Dương Khu/Quận 1/TP.HCM;worker
0000013229;27/09/1993;Nữ;Jane Đường/Quận Gò Vấp/TP.HCM;worker
0000013232;23/10/1997;Nam;Hoàng Làng/Quận 1/TP.HCM;worker
0000013259;16/01/1999;Nữ;Vũ Làng/Quận Gò Vấp/TP.HCM;worker
0000013271;03/07/1994;Nam;John Tổ/Quận Gò Vấp/TP.HCM;worker
0000013272;06/12/1999;Nam;John Hẻm/Quận 1/TP.HCM;worker
0000013278;09/10/1994;Nam;Jane Dãy/Quận Gò Vấp/TP.HCM;worker
0000013311;16/11/1989;Nữ;Nguyễn Số/Quận 7/TP.HCM;worker
0000013312;06/11/1997;Nữ;Mai Khu/Quận 3/TP.HCM;worker
0000013391;26/02/2000;Nữ;Đặng Đường/Quận Gò Vấp/TP.HCM;worker
0000013422;25/04/1998;Nam;John Dãy/Quận 1/TP.HCM;worker
0000013426;03/09/1999;Nữ;Dương Làng/Quận 3/TP.HCM;worker
0000013428;16/03/1997;Nữ;Jane Làng/Quận Bình Thạnh/TP.HCM;worker
0000013449;07/02/2000;Nam;John Ngõ/Quận 3/TP.HCM;worker
0000013463;10/06/1995;Nam;Jane Ngõ/Quận 3/TP.HCM;worker
0000013471;10/08/1998;Nữ;Trần Đường/Quận Bình Thạnh/TP.HCM;worker
0000013496;09/10/1995;Nữ;Jane Tổ/Quận Gò Vấp/TP.HCM;worker
0000013507;10/08/2000;Nữ;John Khu/Quận 7/TP.HCM;worker
0000013523;07/07/1996;Nam;Hoàng Làng/Quận 7/TP.HCM;worker
0000013537;16/05/1986;Nữ;Jane Tổ/Quận 3/TP.HCM;worker
0000013542;08/09/1987;Nữ;Dương Số/Quận Bình Thạnh/TP.HCM;worker
0000013546;19/12/1997;Nữ;Đặng Hẻm/Quận Gò Vấp/TP.HCM;worker
0000013584;30/06/1988;Nữ;Mai Đường/Quận Gò Vấp/TP.HCM;worker
0000013611;18/08/1999;Nữ;Phạm Tổ/Quận Bình Thạnh/TP.HCM;worker
0000013625;11/10/2000;Nữ;John Hẻm/Quận 3/TP.HCM;worker
0000013692;16/01/1992;Nam;Trần Ngõ/Quận 1/TP.HCM;worker
0000013723;25/02/1991;Nam;John Ngõ/Quận 7/TP.HCM;worker
0000013760;25/10/2002;Nữ;Jane Đường/Quận 3/TP.HCM;student
0000014003;24/12/1996;Nam;John Hẻm/Quận 7/TP.HCM;worker
0000014022;23/06/1998;Nam;Lê Số/Quận 1/TP.HCM;worker
0000014039;23/07/1994;Nam;Dương Số/Quận Gò Vấp/TP.HCM;worker
0000014049;16/07/1993;Nam;Jane Đường/Quận Bình Thạnh/TP.HCM;worker
0000014053;30/05/1992;Nam;John Làng/Quận 7/TP.HCM;worker
0000014059;02/05/1996;Nam;John Khu/Quận 3/TP.HCM;worker
0000014065;10/09/1994;Nữ;John Dãy/Quận 3/TP.HCM;worker
0000014122;16/04/1995;Nam;Nguyễn Dãy/Quận 3/TP.HCM;worker
0000014148;06/02/1983;Nữ;Nguyễn Hẻm/Quận 1/TP.HCM;worker
0000014172;28/04/1999;Nam;Mai Ngõ/Quận Bình Thạnh/TP.HCM;worker
0000014196;05/08/1996;Nam;Hoàng Dãy/Quận 1/TP.HCM;worker
0000014223;03/11/1996;Nữ;Jane Khu/Quận 3/TP.HCM;worker
0000014229;21/09/1996;Nam;John Đường/Quận 1/TP.HCM;worker
0000014243;24/10/1998;Nam;Vũ Tổ/Quận 7/TP.HCM;worker
0000014265;05/05/1994;Nữ;Nguyễn Hẻm/Quận 1/TP.HCM;worker
0000014272;11/09/1994;Nam;Đặng Tổ/Quận 3/TP.HCM;worker
0000014280;17/10/1993;Nữ;Mai Ngõ/Quận Bình Thạnh/TP.HCM;worker
0000014307;07/02/1994;Nữ;Jane Làng/Quận 7/TP.HCM;worker
0000014321;27/11/1991;Nữ;Nguyễn Đường/Quận Gò Vấp/TP.HCM;worker
0000014343;16/04/1997;Nữ;Dương Ngõ/Quận 3/TP.HCM;worker
0000014351;24/06/1996;Nam;Đặng Đường/Quận Gò Vấp/TP.HCM;worker
0000014370;22/01/1996;Nữ;John Tổ/Quận 7/TP.HCM;worker
0000014371;09/05/1999;Nữ;Phạm Ngõ/Quận 7/TP.HCM;worker
0000014430;30/08/1996;Nam;Đặng Làng/Quận Bình Thạnh/TP.HCM;worker
0000014431;30/08/1997;Nam;Jane Ngõ/Quận 1/TP.HCM;worker
0000014440;22/08/1998;Nam;John Đường/Quận Gò Vấp/TP.HCM;worker
0000014467;17/04/1991;Nam;Hoàng Dãy/Quận Bình Thạnh/TP.HCM;worker
0000014493;04/11/1997;Nữ;Hoàng Ngõ/Quận 3/TP.HCM;worker
0000014495;12/10/1992;Nữ;Jane Số/Quận 1/TP.HCM;worker
0000014498;18/11/1992;Nam;Dương Khu/Quận 7/TP.HCM;worker
0000014525;23/11/1997;Nam;Phạm Khu/Quận 1/TP.HCM;worker
0000014528;12/12/1990;Nam;Lê Dãy/Quận 1/TP.HCM;worker
0000014561;30/12/1998;Nam;Mai Tổ/Quận Bình Thạnh/TP.HCM;worker
0000014596;30/03/1996;Nữ;Jane Tổ/Quận 7/TP.HCM;worker
0000014634;13/01/1985;Nam;Nguyễn Tổ/Quận Gò Vấp/TP.HCM;worker
0000014640;23/09/2003;Nữ;Jane Ngõ/Quận Gò Vấp/TP.HCM;student
0000014644;06/04/1998;Nam;Mai Ngõ/Quận 7/TP.HCM;worker
0000014652;15/10/1996;Nữ;Jane Đường/Quận 3/TP.HCM;worker
0000014723;23/05/1991;Nam;Đặng Ngõ/Quận 3/TP.HCM;worker
0000014752;03/09/1984;Nữ;John Tổ/Quận Bình Thạnh/TP.HCM;worker
0000014779;21/02/1992;Nam;Trần Làng/Quận 3/TP.HCM;worker
0000014797;24/07/1994;Nữ;Jane Đường/Quận 1/TP.HCM;worker
0000020007;03/01/1987;Nữ;Phạm Hẻm/Quận Gò Vấp/TP.HCM;worker
0000020023;21/02/2000;Nữ;Trần Ngõ/Quận 1/TP.HCM;worker
0000020127;22/10/1992;Nam;John Hẻm/Quận 3/TP.HCM;worker
0000020146;03/09/1997;Nam;Đặng Ngõ/Quận 1/TP.HCM;worker
0000020152;26/04/1999;Nữ;Hoàng Làng/Quận 7/TP.HCM;worker
0000020191;21/07/1997;Nam;Jane Hẻm/Quận 1/TP.HCM;worker
0000020198;03/07/1994;Nữ;Jane Hẻm/Quận 3/TP.HCM;worker
0000020241;01/11/1995;Nam;Trần Dãy/Quận 3/TP.HCM;worker
0000020248;29/06/1997;Nam;Mai Tổ/Quận 7/TP.HCM;worker
0000020264;29/09/1989;Nam;Jane Số/Quận 7/TP.HCM;worker
0000020311;14/07/1993;Nam;Jane Làng/Quận Gò Vấp/TP.HCM;worker
0000020439;01/03/1995;Nam;Bùi Khu/Quận 1/TP.HCM;worker
0000020449;15/06/1996;Nam;Bùi Dãy/Quận 7/TP.HCM;worker
0000020467;10/05/2001;Nữ;Trần Khu/Quận 3/TP.HCM;student
0000020528;04/01/1988;Nam;Dương Hẻm/Quận 1/TP.HCM;worker
0000020540;17/01/1997;Nam;John Số/Quận Gò Vấp/TP.HCM;worker
0000020596;04/06/1998;Nữ;Lê Làng/Quận Gò Vấp/TP.HCM;worker
0000020597;20/04/1997;Nam;Nguyễn Tổ/Quận 3/TP.HCM;worker
0000020599;30/12/1992;Nam;Nguyễn Làng/Quận Bình Thạnh/TP.HCM;worker
0000020663;27/01/1997;Nam;Nguyễn Đường/Quận Gò Vấp/TP.HCM;worker
0000020673;16/03/1998;Nam;Lê Ngõ/Quận 1/TP.HCM;worker
0000020686;27/11/1995;Nam;Lê Số/Quận 1/TP.HCM;worker
0000020698;20/11/1997;Nam;John Làng/Quận 3/TP.HCM;worker
0000020767;06/10/1996;Nữ;John Dãy/Quận Gò Vấp/TP.HCM;worker
0000020789;12/07/1996;Nam;Jane Dãy/Quận Bình Thạnh/TP.HCM;worker
0000020855;30/01/2002;Nam;Dương Tổ/Quận 1/TP.HCM;student
0000020857;25/05/1993;Nam;Vũ Dãy/Quận Gò Vấp/TP.HCM;worker
0000021031;16/03/1992;Nam;Jane Số/Quận Gò Vấp/TP.HCM;worker
